Results for prediction length: 25
Experiment 41: ADE_a: 0.0598±0.0048, ADE_b: 0.0747±0.0062, ADE_c: 0.1075±0.0136, ADE_c: 0.0721±0.0059, FDE_a: 0.1621±0.0113, FDE_b: 0.1919±0.0153, FDE_c: 0.3756±0.0972, FDE_d: 0.1907±0.0148
Experiment 42: ADE_a: 0.0596±0.0052, ADE_b: 0.0750±0.0069, ADE_c: 0.1060±0.0137, ADE_c: 0.0722±0.0066, FDE_a: 0.1617±0.0112, FDE_b: 0.1922±0.0162, FDE_c: 0.3675±0.0937, FDE_d: 0.1912±0.0156
Experiment 43: ADE_a: 0.0600±0.0039, ADE_b: 0.0759±0.0066, ADE_c: 0.1044±0.0128, ADE_c: 0.0728±0.0061, FDE_a: 0.1624±0.0081, FDE_b: 0.1941±0.0144, FDE_c: 0.3596±0.0898, FDE_d: 0.1927±0.0133
Experiment 44: ADE_a: 0.0594±0.0051, ADE_b: 0.0742±0.0069, ADE_c: 0.1029±0.0120, ADE_c: 0.0718±0.0067, FDE_a: 0.1611±0.0113, FDE_b: 0.1916±0.0166, FDE_c: 0.3514±0.0849, FDE_d: 0.1903±0.0159
Experiment 45: ADE_a: 0.0591±0.0053, ADE_b: 0.0743±0.0072, ADE_c: 0.1019±0.0110, ADE_c: 0.0717±0.0068, FDE_a: 0.1607±0.0121, FDE_b: 0.1919±0.0170, FDE_c: 0.3462±0.0800, FDE_d: 0.1906±0.0160
Experiment 46: ADE_a: 0.0588±0.0046, ADE_b: 0.0742±0.0069, ADE_c: 0.1020±0.0102, ADE_c: 0.0718±0.0066, FDE_a: 0.1601±0.0106, FDE_b: 0.1915±0.0163, FDE_c: 0.3445±0.0773, FDE_d: 0.1904±0.0154
Experiment 47: ADE_a: 0.0592±0.0050, ADE_b: 0.0748±0.0070, ADE_c: 0.0998±0.0092, ADE_c: 0.0722±0.0070, FDE_a: 0.1616±0.0116, FDE_b: 0.1931±0.0158, FDE_c: 0.3351±0.0716, FDE_d: 0.1918±0.0156
Experiment 48: ADE_a: 0.0596±0.0054, ADE_b: 0.0748±0.0077, ADE_c: 0.0998±0.0101, ADE_c: 0.0720±0.0075, FDE_a: 0.1622±0.0109, FDE_b: 0.1929±0.0173, FDE_c: 0.3334±0.0714, FDE_d: 0.1912±0.0164
Experiment 49: ADE_a: 0.0592±0.0057, ADE_b: 0.0745±0.0074, ADE_c: 0.0995±0.0103, ADE_c: 0.0721±0.0070, FDE_a: 0.1612±0.0134, FDE_b: 0.1929±0.0161, FDE_c: 0.3284±0.0696, FDE_d: 0.1918±0.0153

