
Results for prediction length: 25
Experiment 38: ADE_a: 0.0672±0.0052, ADE_b: 0.0820±0.0064, ADE_c: 0.1529±0.0512, ADE_c: 0.0807±0.0061, FDE_a: 0.1761±0.0129, FDE_b: 0.2132±0.0148, FDE_c: 0.6431±0.3984, FDE_d: 0.2116±0.0146
Experiment 39: ADE_a: 0.0688±0.0037, ADE_b: 0.0822±0.0064, ADE_c: 0.1466±0.0411, ADE_c: 0.0810±0.0061, FDE_a: 0.1816±0.0112, FDE_b: 0.2131±0.0146, FDE_c: 0.5876±0.3049, FDE_d: 0.2117±0.0145
Experiment 40: ADE_a: 0.0670±0.0043, ADE_b: 0.0821±0.0065, ADE_c: 0.1416±0.0312, ADE_c: 0.0806±0.0061, FDE_a: 0.1773±0.0112, FDE_b: 0.2135±0.0151, FDE_c: 0.5658±0.2560, FDE_d: 0.2115±0.0146
Experiment 41: ADE_a: 0.0682±0.0047, ADE_b: 0.0834±0.0066, ADE_c: 0.1413±0.0322, ADE_c: 0.0814±0.0064, FDE_a: 0.1812±0.0132, FDE_b: 0.2163±0.0153, FDE_c: 0.5741±0.2833, FDE_d: 0.2136±0.0154
Experiment 42: ADE_a: 0.0677±0.0049, ADE_b: 0.0827±0.0066, ADE_c: 0.1489±0.0493, ADE_c: 0.0809±0.0061, FDE_a: 0.1783±0.0137, FDE_b: 0.2147±0.0150, FDE_c: 0.5383±0.2301, FDE_d: 0.2122±0.0148
Experiment 43: ADE_a: 0.0667±0.0059, ADE_b: 0.0821±0.0066, ADE_c: 0.1764±0.1051, ADE_c: 0.0809±0.0059, FDE_a: 0.1761±0.0154, FDE_b: 0.2136±0.0153, FDE_c: 0.9057±0.9597, FDE_d: 0.2125±0.0141
Experiment 44: ADE_a: 0.0673±0.0039, ADE_b: 0.0822±0.0062, ADE_c: 0.1613±0.0722, ADE_c: 0.0808±0.0059, FDE_a: 0.1778±0.0097, FDE_b: 0.2136±0.0144, FDE_c: 0.8807±0.9082, FDE_d: 0.2118±0.0141
Experiment 45: ADE_a: 0.0670±0.0044, ADE_b: 0.0819±0.0063, ADE_c: 0.1354±0.0251, ADE_c: 0.0806±0.0061, FDE_a: 0.1775±0.0111, FDE_b: 0.2133±0.0151, FDE_c: 0.5206±0.2121, FDE_d: 0.2119±0.0149
Experiment 46: ADE_a: 0.0664±0.0049, ADE_b: 0.0822±0.0064, ADE_c: 0.1896±0.1321, ADE_c: 0.0810±0.0059, FDE_a: 0.1756±0.0125, FDE_b: 0.2137±0.0151, FDE_c: 0.7839±0.7269, FDE_d: 0.2120±0.0143
Experiment 47: ADE_a: 0.0673±0.0041, ADE_b: 0.0822±0.0063, ADE_c: 0.1835±0.1247, ADE_c: 0.0808±0.0058, FDE_a: 0.1790±0.0098, FDE_b: 0.2139±0.0145, FDE_c: 0.6459±0.4843, FDE_d: 0.2121±0.0138
Experiment 48: ADE_a: 0.0664±0.0056, ADE_b: 0.0823±0.0067, ADE_c: 0.1510±0.0601, ADE_c: 0.0807±0.0062, FDE_a: 0.1759±0.0135, FDE_b: 0.2136±0.0156, FDE_c: 0.7562±0.6944, FDE_d: 0.2118±0.0150
Experiment 49: ADE_a: 0.0667±0.0055, ADE_b: 0.0824±0.0064, ADE_c: 0.1361±0.0289, ADE_c: 0.0809±0.0059, FDE_a: 0.1774±0.0138, FDE_b: 0.2151±0.0145, FDE_c: 0.5903±0.3606, FDE_d: 0.2132±0.0138

Results for prediction length: 50
Experiment 01: ADE_a: 0.2807±0.0589, ADE_b: 0.8357±0.7622, ADE_c: 1.1262±0.2009, ADE_c: 0.2301±0.0134, FDE_a: 0.8141±0.3032, FDE_b: 0.5403±0.0312, FDE_c: 3.7251±0.4523, FDE_d: 0.5409±0.0343
Experiment 02: ADE_a: 0.2624±0.0437, ADE_b: 0.7695±0.7151, ADE_c: 1.1602±0.2233, ADE_c: 0.2320±0.0094, FDE_a: 0.7624±0.2607, FDE_b: 0.5451±0.0236, FDE_c: 3.8468±0.5194, FDE_d: 0.5458±0.0239
Experiment 03: ADE_a: 0.2551±0.0442, ADE_b: 0.7447±0.6700, ADE_c: 1.1630±0.2319, ADE_c: 0.2339±0.0162, FDE_a: 0.7051±0.2203, FDE_b: 0.5437±0.0291, FDE_c: 3.8817±0.5604, FDE_d: 0.5410±0.0285
Experiment 04: ADE_a: 0.2444±0.0412, ADE_b: 0.6811±0.6152, ADE_c: 1.1699±0.2290, ADE_c: 0.2273±0.0143, FDE_a: 0.6745±0.2029, FDE_b: 0.5366±0.0245, FDE_c: 3.9245±0.5822, FDE_d: 0.5363±0.0320
Experiment 05: ADE_a: 0.2368±0.0376, ADE_b: 0.6306±0.5394, ADE_c: 1.1843±0.2429, ADE_c: 0.2270±0.0127, FDE_a: 0.6498±0.1988, FDE_b: 0.5322±0.0287, FDE_c: 3.9991±0.6467, FDE_d: 0.5334±0.0276
Experiment 06: ADE_a: 0.2352±0.0365, ADE_b: 0.5781±0.4518, ADE_c: 1.2032±0.2508, ADE_c: 0.2313±0.0153, FDE_a: 0.6342±0.1790, FDE_b: 0.5466±0.0284, FDE_c: 4.0710±0.7016, FDE_d: 0.5462±0.0350
Experiment 07: ADE_a: 0.2302±0.0348, ADE_b: 0.5553±0.4414, ADE_c: 1.2027±0.2491, ADE_c: 0.2278±0.0147, FDE_a: 0.6126±0.1709, FDE_b: 0.5365±0.0295, FDE_c: 4.0775±0.6917, FDE_d: 0.5362±0.0340
