
Results for prediction length: 25
Experiment 25: ADE_a: 0.2233±0.0127, ADE_b: 0.2716±0.0200, ADE_c: 1.2254±0.5930, ADE_c: 0.2402±0.0116, FDE_a: 0.5138±0.0231, FDE_b: 0.5704±0.0209, FDE_c: 3.7903±1.5343, FDE_d: 0.5689±0.0192
Experiment 26: ADE_a: 0.2221±0.0162, ADE_b: 0.2688±0.0237, ADE_c: 1.2173±0.5890, ADE_c: 0.2388±0.0156, FDE_a: 0.5087±0.0304, FDE_b: 0.5637±0.0300, FDE_c: 3.7662±1.5269, FDE_d: 0.5637±0.0299
Experiment 27: ADE_a: 0.2235±0.0160, ADE_b: 0.2707±0.0215, ADE_c: 1.2067±0.5968, ADE_c: 0.2398±0.0155, FDE_a: 0.5150±0.0366, FDE_b: 0.5685±0.0282, FDE_c: 3.7339±1.5574, FDE_d: 0.5677±0.0299
Experiment 28: ADE_a: 0.2227±0.0120, ADE_b: 0.2725±0.0195, ADE_c: 1.2081±0.5948, ADE_c: 0.2424±0.0117, FDE_a: 0.5108±0.0254, FDE_b: 0.5725±0.0246, FDE_c: 3.7324±1.5564, FDE_d: 0.5705±0.0238
Experiment 29: ADE_a: 0.2262±0.0130, ADE_b: 0.2763±0.0220, ADE_c: 1.2080±0.5918, ADE_c: 0.2466±0.0144, FDE_a: 0.5205±0.0307, FDE_b: 0.5806±0.0278, FDE_c: 3.7197±1.5576, FDE_d: 0.5799±0.0288
Experiment 30: ADE_a: 0.2228±0.0121, ADE_b: 0.2754±0.0202, ADE_c: 1.1925±0.5993, ADE_c: 0.2446±0.0125, FDE_a: 0.5126±0.0252, FDE_b: 0.5807±0.0217, FDE_c: 3.6944±1.5833, FDE_d: 0.5769±0.0236
Experiment 31: ADE_a: 0.2231±0.0129, ADE_b: 0.2724±0.0198, ADE_c: 1.1965±0.5964, ADE_c: 0.2426±0.0146, FDE_a: 0.5152±0.0303, FDE_b: 0.5751±0.0274, FDE_c: 3.6962±1.5763, FDE_d: 0.5743±0.0281
Experiment 32: ADE_a: 0.2227±0.0127, ADE_b: 0.2730±0.0209, ADE_c: 1.1853±0.6049, ADE_c: 0.2430±0.0135, FDE_a: 0.5168±0.0222, FDE_b: 0.5773±0.0268, FDE_c: 3.6697±1.6026, FDE_d: 0.5775±0.0250
Experiment 33: ADE_a: 0.2251±0.0120, ADE_b: 0.2771±0.0202, ADE_c: 1.1870±0.5936, ADE_c: 0.2457±0.0119, FDE_a: 0.5150±0.0278, FDE_b: 0.5840±0.0211, FDE_c: 3.6758±1.5804, FDE_d: 0.5809±0.0227
Experiment 34: ADE_a: 0.2257±0.0121, ADE_b: 0.2789±0.0233, ADE_c: 1.1764±0.5958, ADE_c: 0.2470±0.0146, FDE_a: 0.5188±0.0251, FDE_b: 0.5836±0.0311, FDE_c: 3.6530±1.5883, FDE_d: 0.5847±0.0309
Experiment 35: ADE_a: 0.2236±0.0104, ADE_b: 0.2776±0.0237, ADE_c: 1.1729±0.5994, ADE_c: 0.2468±0.0130, FDE_a: 0.5141±0.0244, FDE_b: 0.5851±0.0243, FDE_c: 3.6316±1.6057, FDE_d: 0.5845±0.0239
Experiment 36: ADE_a: 0.2239±0.0088, ADE_b: 0.2776±0.0214, ADE_c: 1.1652±0.5871, ADE_c: 0.2471±0.0116, FDE_a: 0.5172±0.0157, FDE_b: 0.5845±0.0220, FDE_c: 3.6173±1.5808, FDE_d: 0.5842±0.0203
Experiment 37: ADE_a: 0.2274±0.0133, ADE_b: 0.2788±0.0225, ADE_c: 1.1731±0.5902, ADE_c: 0.2494±0.0149, FDE_a: 0.5221±0.0261, FDE_b: 0.5865±0.0259, FDE_c: 3.6287±1.5778, FDE_d: 0.5860±0.0257
Experiment 38: ADE_a: 0.2253±0.0101, ADE_b: 0.2796±0.0219, ADE_c: 1.1540±0.5922, ADE_c: 0.2489±0.0134, FDE_a: 0.5154±0.0163, FDE_b: 0.5889±0.0235, FDE_c: 3.5920±1.6024, FDE_d: 0.5864±0.0237
Experiment 39: ADE_a: 0.2285±0.0100, ADE_b: 0.2815±0.0223, ADE_c: 1.1589±0.5871, ADE_c: 0.2512±0.0133, FDE_a: 0.5265±0.0200, FDE_b: 0.5939±0.0263, FDE_c: 3.5996±1.5859, FDE_d: 0.5940±0.0264
Experiment 40: ADE_a: 0.2301±0.0117, ADE_b: 0.2821±0.0221, ADE_c: 1.1446±0.5906, ADE_c: 0.2513±0.0128, FDE_a: 0.5290±0.0254, FDE_b: 0.5929±0.0238, FDE_c: 3.5623±1.5971, FDE_d: 0.5934±0.0253
Experiment 41: ADE_a: 0.2278±0.0090, ADE_b: 0.2817±0.0226, ADE_c: 1.1416±0.5897, ADE_c: 0.2504±0.0119, FDE_a: 0.5244±0.0257, FDE_b: 0.5926±0.0239, FDE_c: 3.5543±1.6104, FDE_d: 0.5927±0.0255
Experiment 42: ADE_a: 0.2273±0.0094, ADE_b: 0.2839±0.0256, ADE_c: 1.1398±0.5828, ADE_c: 0.2516±0.0141, FDE_a: 0.5232±0.0200, FDE_b: 0.5968±0.0272, FDE_c: 3.5534±1.5924, FDE_d: 0.5953±0.0280
Experiment 43: ADE_a: 0.2263±0.0112, ADE_b: 0.2804±0.0232, ADE_c: 1.1297±0.5915, ADE_c: 0.2496±0.0136, FDE_a: 0.5191±0.0288, FDE_b: 0.5909±0.0267, FDE_c: 3.5223±1.6203, FDE_d: 0.5896±0.0278
Experiment 44: ADE_a: 0.2280±0.0127, ADE_b: 0.2822±0.0227, ADE_c: 1.1283±0.5958, ADE_c: 0.2517±0.0138, FDE_a: 0.5246±0.0281, FDE_b: 0.5933±0.0254, FDE_c: 3.5183±1.6402, FDE_d: 0.5937±0.0272
Experiment 45: ADE_a: 0.2259±0.0087, ADE_b: 0.2818±0.0226, ADE_c: 1.1180±0.5835, ADE_c: 0.2505±0.0118, FDE_a: 0.5206±0.0225, FDE_b: 0.5923±0.0213, FDE_c: 3.4955±1.6094, FDE_d: 0.5912±0.0214
Experiment 46: ADE_a: 0.2297±0.0073, ADE_b: 0.2824±0.0213, ADE_c: 1.1223±0.5843, ADE_c: 0.2518±0.0116, FDE_a: 0.5312±0.0171, FDE_b: 0.5956±0.0210, FDE_c: 3.4999±1.6115, FDE_d: 0.5966±0.0217
