Results for prediction length: 25
Experiment 06: ADE_a: 0.2333±0.0083, ADE_b: 0.2734±0.0314, ADE_c: 1.1070±0.3351, ADE_c: 0.2256±0.0157, FDE_a: 0.4985±0.0349, FDE_b: 0.5152±0.0290, FDE_c: 3.6680±0.8616, FDE_d: 0.5133±0.0303
Experiment 07: ADE_a: 0.2325±0.0135, ADE_b: 0.2820±0.0236, ADE_c: 1.1410±0.3479, ADE_c: 0.2299±0.0179, FDE_a: 0.5000±0.0450, FDE_b: 0.5254±0.0246, FDE_c: 3.7557±0.8731, FDE_d: 0.5173±0.0220
Experiment 08: ADE_a: 0.2251±0.0098, ADE_b: 0.2684±0.0314, ADE_c: 1.1683±0.3510, ADE_c: 0.2181±0.0112, FDE_a: 0.5095±0.0422, FDE_b: 0.4991±0.0225, FDE_c: 3.8401±0.8596, FDE_d: 0.4976±0.0260
Experiment 09: ADE_a: 0.2247±0.0105, ADE_b: 0.2711±0.0377, ADE_c: 1.1933±0.3438, ADE_c: 0.2195±0.0138, FDE_a: 0.5126±0.0327, FDE_b: 0.5042±0.0294, FDE_c: 3.9084±0.8337, FDE_d: 0.5060±0.0279
Experiment 10: ADE_a: 0.2205±0.0095, ADE_b: 0.2726±0.0363, ADE_c: 1.2205±0.3489, ADE_c: 0.2195±0.0147, FDE_a: 0.5082±0.0387, FDE_b: 0.5030±0.0252, FDE_c: 3.9772±0.8296, FDE_d: 0.5018±0.0303
Experiment 11: ADE_a: 0.2183±0.0099, ADE_b: 0.2685±0.0406, ADE_c: 1.2433±0.3527, ADE_c: 0.2146±0.0146, FDE_a: 0.5062±0.0543, FDE_b: 0.4933±0.0260, FDE_c: 4.0380±0.8255, FDE_d: 0.4920±0.0292
Experiment 12: ADE_a: 0.2157±0.0088, ADE_b: 0.2670±0.0431, ADE_c: 1.2521±0.3474, ADE_c: 0.2125±0.0145, FDE_a: 0.5005±0.0421, FDE_b: 0.4932±0.0302, FDE_c: 4.0680±0.8058, FDE_d: 0.4922±0.0318
Experiment 13: ADE_a: 0.2191±0.0120, ADE_b: 0.2696±0.0425, ADE_c: 1.2697±0.3630, ADE_c: 0.2163±0.0142, FDE_a: 0.5076±0.0513, FDE_b: 0.4924±0.0291, FDE_c: 4.1122±0.8316, FDE_d: 0.4942±0.0288
Experiment 14: ADE_a: 0.2159±0.0072, ADE_b: 0.2739±0.0459, ADE_c: 1.2769±0.3478, ADE_c: 0.2205±0.0174, FDE_a: 0.4921±0.0186, FDE_b: 0.5085±0.0376, FDE_c: 4.1444±0.7956, FDE_d: 0.5049±0.0377
Experiment 15: ADE_a: 0.2182±0.0061, ADE_b: 0.2780±0.0487, ADE_c: 1.2898±0.3579, ADE_c: 0.2184±0.0164, FDE_a: 0.4968±0.0332, FDE_b: 0.5041±0.0282, FDE_c: 4.1746±0.8115, FDE_d: 0.4993±0.0287
Experiment 16: ADE_a: 0.2161±0.0085, ADE_b: 0.2709±0.0392, ADE_c: 1.2992±0.3578, ADE_c: 0.2171±0.0159, FDE_a: 0.5049±0.0516, FDE_b: 0.5000±0.0288, FDE_c: 4.1980±0.8115, FDE_d: 0.4978±0.0298
Experiment 17: ADE_a: 0.2157±0.0086, ADE_b: 0.2697±0.0411, ADE_c: 1.3094±0.3562, ADE_c: 0.2160±0.0158, FDE_a: 0.5067±0.0400, FDE_b: 0.4974±0.0303, FDE_c: 4.2276±0.8076, FDE_d: 0.4975±0.0337
Experiment 18: ADE_a: 0.2155±0.0072, ADE_b: 0.2709±0.0415, ADE_c: 1.3184±0.3586, ADE_c: 0.2166±0.0169, FDE_a: 0.4973±0.0422, FDE_b: 0.5008±0.0361, FDE_c: 4.2573±0.8055, FDE_d: 0.4991±0.0370
Experiment 19: ADE_a: 0.2101±0.0083, ADE_b: 0.2662±0.0402, ADE_c: 1.3325±0.3642, ADE_c: 0.2144±0.0147, FDE_a: 0.4958±0.0496, FDE_b: 0.4978±0.0272, FDE_c: 4.2870±0.8287, FDE_d: 0.4958±0.0293
Experiment 20: ADE_a: 0.2128±0.0083, ADE_b: 0.2705±0.0417, ADE_c: 1.3257±0.3716, ADE_c: 0.2177±0.0144, FDE_a: 0.5042±0.0384, FDE_b: 0.5045±0.0294, FDE_c: 4.2814±0.8305, FDE_d: 0.5047±0.0330
