Results for prediction length: 25
Experiment 43: ADE_a: 0.0603±0.0051, ADE_b: 0.0740±0.0060, ADE_c: 0.1222±0.0333, ADE_c: 0.0718±0.0064, FDE_a: 0.1647±0.0128, FDE_b: 0.1926±0.0135, FDE_c: 0.4566±0.1941, FDE_d: 0.1919±0.0135
Experiment 44: ADE_a: 0.0600±0.0047, ADE_b: 0.0735±0.0061, ADE_c: 0.1209±0.0327, ADE_c: 0.0714±0.0059, FDE_a: 0.1638±0.0115, FDE_b: 0.1927±0.0136, FDE_c: 0.4507±0.1885, FDE_d: 0.1918±0.0133
Experiment 45: ADE_a: 0.0605±0.0050, ADE_b: 0.0746±0.0059, ADE_c: 0.1201±0.0316, ADE_c: 0.0724±0.0061, FDE_a: 0.1641±0.0117, FDE_b: 0.1944±0.0130, FDE_c: 0.4428±0.1855, FDE_d: 0.1934±0.0134
Experiment 46: ADE_a: 0.0592±0.0048, ADE_b: 0.0728±0.0061, ADE_c: 0.1191±0.0311, ADE_c: 0.0707±0.0063, FDE_a: 0.1616±0.0118, FDE_b: 0.1901±0.0131, FDE_c: 0.4392±0.1841, FDE_d: 0.1893±0.0130
Experiment 47: ADE_a: 0.0596±0.0049, ADE_b: 0.0739±0.0060, ADE_c: 0.1178±0.0315, ADE_c: 0.0719±0.0059, FDE_a: 0.1623±0.0124, FDE_b: 0.1933±0.0130, FDE_c: 0.4298±0.1827, FDE_d: 0.1923±0.0131
Experiment 48: ADE_a: 0.0602±0.0041, ADE_b: 0.0746±0.0052, ADE_c: 0.1180±0.0302, ADE_c: 0.0721±0.0049, FDE_a: 0.1647±0.0117, FDE_b: 0.1933±0.0116, FDE_c: 0.4289±0.1801, FDE_d: 0.1919±0.0115
Experiment 49: ADE_a: 0.0597±0.0045, ADE_b: 0.0738±0.0054, ADE_c: 0.1151±0.0300, ADE_c: 0.0716±0.0053, FDE_a: 0.1617±0.0112, FDE_b: 0.1930±0.0117, FDE_c: 0.4174±0.1779, FDE_d: 0.1921±0.0114

Results for prediction length: 50
Experiment 01: ADE_a: 0.3842±0.1179, ADE_b: 0.8717±0.2886, ADE_c: 1.0670±0.1327, ADE_c: 0.2145±0.0135, FDE_a: 1.1597±0.2892, FDE_b: 0.5093±0.0286, FDE_c: 3.7433±0.3410, FDE_d: 0.5106±0.0315
