Results for prediction length: 25
Experiment 41: ADE_a: 0.0551±0.0055, ADE_b: 0.0689±0.0077, ADE_c: 0.1741±0.1475, ADE_c: 0.0664±0.0072, FDE_a: 0.1481±0.0111, FDE_b: 0.1825±0.0166, FDE_c: 0.9963±1.4292, FDE_d: 0.1804±0.0159
Experiment 42: ADE_a: 0.0547±0.0058, ADE_b: 0.0674±0.0066, ADE_c: 0.1579±0.1108, ADE_c: 0.0655±0.0067, FDE_a: 0.1483±0.0116, FDE_b: 0.1798±0.0142, FDE_c: 0.8097±1.0464, FDE_d: 0.1785±0.0146
Experiment 43: ADE_a: 0.0534±0.0046, ADE_b: 0.0657±0.0068, ADE_c: 0.1448±0.0915, ADE_c: 0.0636±0.0059, FDE_a: 0.1469±0.0109, FDE_b: 0.1778±0.0147, FDE_c: 0.6892±0.8180, FDE_d: 0.1762±0.0143
Experiment 44: ADE_a: 0.0548±0.0060, ADE_b: 0.0672±0.0075, ADE_c: 0.1439±0.0889, ADE_c: 0.0651±0.0072, FDE_a: 0.1489±0.0126, FDE_b: 0.1792±0.0153, FDE_c: 0.6845±0.8094, FDE_d: 0.1778±0.0151
Experiment 45: ADE_a: 0.0537±0.0051, ADE_b: 0.0668±0.0046, ADE_c: 0.1320±0.0639, ADE_c: 0.0646±0.0050, FDE_a: 0.1461±0.0127, FDE_b: 0.1792±0.0113, FDE_c: 0.5522±0.5575, FDE_d: 0.1767±0.0132
Experiment 46: ADE_a: 0.0548±0.0054, ADE_b: 0.0679±0.0065, ADE_c: 0.1765±0.1013, ADE_c: 0.0657±0.0066, FDE_a: 0.1474±0.0125, FDE_b: 0.1808±0.0153, FDE_c: 0.9567±0.8683, FDE_d: 0.1783±0.0153
Experiment 47: ADE_a: 0.0531±0.0051, ADE_b: 0.0652±0.0064, ADE_c: 0.1337±0.0684, ADE_c: 0.0632±0.0060, FDE_a: 0.1467±0.0113, FDE_b: 0.1777±0.0132, FDE_c: 0.5799±0.6187, FDE_d: 0.1763±0.0134
Experiment 48: ADE_a: 0.0529±0.0049, ADE_b: 0.0655±0.0064, ADE_c: 0.1227±0.0459, ADE_c: 0.0632±0.0061, FDE_a: 0.1461±0.0119, FDE_b: 0.1763±0.0149, FDE_c: 0.4576±0.3677, FDE_d: 0.1751±0.0147
Experiment 49: ADE_a: 0.0523±0.0043, ADE_b: 0.0653±0.0066, ADE_c: 0.1196±0.0482, ADE_c: 0.0629±0.0057, FDE_a: 0.1446±0.0101, FDE_b: 0.1768±0.0149, FDE_c: 0.4705±0.4112, FDE_d: 0.1749±0.0143

Results for prediction length: 50
Experiment 01: ADE_a: 0.2582±0.0226, ADE_b: 0.3424±0.0587, ADE_c: 0.8055±0.1183, ADE_c: 0.2378±0.0170, FDE_a: 0.5746±0.0496, FDE_b: 0.5416±0.0327, FDE_c: 2.8322±0.4102, FDE_d: 0.5389±0.0351
Experiment 02: ADE_a: 0.2582±0.0202, ADE_b: 0.3230±0.0468, ADE_c: 0.8763±0.1180, ADE_c: 0.2358±0.0157, FDE_a: 0.5747±0.0568, FDE_b: 0.5379±0.0363, FDE_c: 3.0815±0.4165, FDE_d: 0.5369±0.0396
Experiment 03: ADE_a: 0.2566±0.0294, ADE_b: 0.3073±0.0410, ADE_c: 0.9629±0.1253, ADE_c: 0.2384±0.0181, FDE_a: 0.5690±0.0596, FDE_b: 0.5432±0.0345, FDE_c: 3.3250±0.4451, FDE_d: 0.5470±0.0295
Experiment 04: ADE_a: 0.2451±0.0241, ADE_b: 0.2940±0.0284, ADE_c: 1.0248±0.1594, ADE_c: 0.2267±0.0142, FDE_a: 0.5443±0.0397, FDE_b: 0.5259±0.0307, FDE_c: 3.5130±0.5152, FDE_d: 0.5231±0.0366
Experiment 05: ADE_a: 0.2376±0.0246, ADE_b: 0.2776±0.0179, ADE_c: 1.0798±0.1769, ADE_c: 0.2214±0.0147, FDE_a: 0.4996±0.0376, FDE_b: 0.5118±0.0294, FDE_c: 3.6711±0.5637, FDE_d: 0.5085±0.0336
Experiment 06: ADE_a: 0.2397±0.0237, ADE_b: 0.2790±0.0170, ADE_c: 1.1141±0.1927, ADE_c: 0.2221±0.0145, FDE_a: 0.5044±0.0280, FDE_b: 0.5091±0.0343, FDE_c: 3.7707±0.5857, FDE_d: 0.5069±0.0307
Experiment 07: ADE_a: 0.2388±0.0259, ADE_b: 0.2717±0.0133, ADE_c: 1.1634±0.2040, ADE_c: 0.2184±0.0130, FDE_a: 0.5160±0.0284, FDE_b: 0.5080±0.0315, FDE_c: 3.8998±0.6138, FDE_d: 0.5102±0.0278
Experiment 08: ADE_a: 0.2368±0.0273, ADE_b: 0.2702±0.0205, ADE_c: 1.1969±0.2113, ADE_c: 0.2185±0.0156, FDE_a: 0.4955±0.0391, FDE_b: 0.5073±0.0323, FDE_c: 3.9863±0.6306, FDE_d: 0.5042±0.0354
