Results for prediction length: 25
Experiment 37: ADE_a: 0.0599±0.0058, ADE_b: 0.0725±0.0067, ADE_c: 0.1211±0.0206, ADE_c: 0.0699±0.0062, FDE_a: 0.1633±0.0148, FDE_b: 0.1891±0.0154, FDE_c: 0.4631±0.1205, FDE_d: 0.1884±0.0144
Experiment 38: ADE_a: 0.0592±0.0058, ADE_b: 0.0721±0.0065, ADE_c: 0.1190±0.0206, ADE_c: 0.0692±0.0063, FDE_a: 0.1614±0.0146, FDE_b: 0.1877±0.0147, FDE_c: 0.4563±0.1194, FDE_d: 0.1868±0.0141
Experiment 39: ADE_a: 0.0592±0.0056, ADE_b: 0.0731±0.0067, ADE_c: 0.1188±0.0206, ADE_c: 0.0700±0.0063, FDE_a: 0.1605±0.0126, FDE_b: 0.1896±0.0148, FDE_c: 0.4516±0.1160, FDE_d: 0.1884±0.0140
Experiment 40: ADE_a: 0.0599±0.0054, ADE_b: 0.0727±0.0060, ADE_c: 0.1175±0.0196, ADE_c: 0.0697±0.0058, FDE_a: 0.1633±0.0138, FDE_b: 0.1886±0.0140, FDE_c: 0.4452±0.1088, FDE_d: 0.1877±0.0129
Experiment 41: ADE_a: 0.0594±0.0055, ADE_b: 0.0726±0.0065, ADE_c: 0.1155±0.0204, ADE_c: 0.0698±0.0063, FDE_a: 0.1614±0.0128, FDE_b: 0.1887±0.0143, FDE_c: 0.4339±0.1179, FDE_d: 0.1879±0.0137
Experiment 42: ADE_a: 0.0602±0.0071, ADE_b: 0.0739±0.0086, ADE_c: 0.1158±0.0196, ADE_c: 0.0711±0.0083, FDE_a: 0.1625±0.0174, FDE_b: 0.1922±0.0187, FDE_c: 0.4309±0.1098, FDE_d: 0.1911±0.0177
Experiment 43: ADE_a: 0.0599±0.0053, ADE_b: 0.0728±0.0064, ADE_c: 0.1133±0.0190, ADE_c: 0.0701±0.0061, FDE_a: 0.1627±0.0133, FDE_b: 0.1895±0.0148, FDE_c: 0.4183±0.1092, FDE_d: 0.1891±0.0133
Experiment 44: ADE_a: 0.0599±0.0056, ADE_b: 0.0740±0.0062, ADE_c: 0.1465±0.0759, ADE_c: 0.0712±0.0062, FDE_a: 0.1626±0.0145, FDE_b: 0.1925±0.0144, FDE_c: 0.4879±0.2101, FDE_d: 0.1914±0.0142
Experiment 45: ADE_a: 0.0595±0.0061, ADE_b: 0.0743±0.0080, ADE_c: 0.1128±0.0202, ADE_c: 0.0708±0.0072, FDE_a: 0.1623±0.0145, FDE_b: 0.1933±0.0173, FDE_c: 0.4075±0.1073, FDE_d: 0.1911±0.0159
Experiment 46: ADE_a: 0.0579±0.0053, ADE_b: 0.0726±0.0072, ADE_c: 0.1105±0.0170, ADE_c: 0.0695±0.0069, FDE_a: 0.1578±0.0117, FDE_b: 0.1891±0.0163, FDE_c: 0.4024±0.0966, FDE_d: 0.1877±0.0151
Experiment 47: ADE_a: 0.0587±0.0056, ADE_b: 0.0729±0.0069, ADE_c: 0.1090±0.0166, ADE_c: 0.0699±0.0065, FDE_a: 0.1610±0.0141, FDE_b: 0.1905±0.0151, FDE_c: 0.3939±0.0981, FDE_d: 0.1890±0.0140
Experiment 48: ADE_a: 0.0587±0.0058, ADE_b: 0.0730±0.0078, ADE_c: 0.1095±0.0148, ADE_c: 0.0702±0.0075, FDE_a: 0.1603±0.0155, FDE_b: 0.1906±0.0172, FDE_c: 0.3934±0.0892, FDE_d: 0.1891±0.0167
Experiment 49: ADE_a: 0.0597±0.0054, ADE_b: 0.0739±0.0064, ADE_c: 0.1102±0.0145, ADE_c: 0.0713±0.0063, FDE_a: 0.1625±0.0137, FDE_b: 0.1932±0.0155, FDE_c: 0.3875±0.0878, FDE_d: 0.1919±0.0147

Results for prediction length: 50
Experiment 01: ADE_a: 0.3813±0.1042, ADE_b: 0.7437±0.1341, ADE_c: 1.0932±0.3064, ADE_c: 0.2206±0.0139, FDE_a: 0.9744±0.1940, FDE_b: 0.5216±0.0301, FDE_c: 3.7376±0.8713, FDE_d: 0.5197±0.0273
Experiment 02: ADE_a: 0.3748±0.1020, ADE_b: 0.6692±0.1127, ADE_c: 1.1280±0.3323, ADE_c: 0.2156±0.0157, FDE_a: 0.9283±0.1442, FDE_b: 0.5092±0.0369, FDE_c: 3.8394±0.9177, FDE_d: 0.5139±0.0379
