Results for prediction length: 25
Experiment 45: ADE_a: 0.0576±0.0062, ADE_b: 0.0716±0.0082, ADE_c: 0.1616±0.1089, ADE_c: 0.0690±0.0086, FDE_a: 0.1583±0.0140, FDE_b: 0.1889±0.0175, FDE_c: 0.9836±1.2074, FDE_d: 0.1873±0.0175
Experiment 46: ADE_a: 0.0587±0.0061, ADE_b: 0.0733±0.0074, ADE_c: 0.1799±0.1418, ADE_c: 0.0708±0.0081, FDE_a: 0.1600±0.0138, FDE_b: 0.1922±0.0152, FDE_c: 1.3162±1.8676, FDE_d: 0.1908±0.0158
Experiment 47: ADE_a: 0.0582±0.0069, ADE_b: 0.0732±0.0095, ADE_c: 0.1888±0.1643, ADE_c: 0.0705±0.0091, FDE_a: 0.1599±0.0171, FDE_b: 0.1928±0.0194, FDE_c: 1.4650±2.1796, FDE_d: 0.1912±0.0196
Experiment 48: ADE_a: 0.0575±0.0059, ADE_b: 0.0719±0.0091, ADE_c: 0.1884±0.1609, ADE_c: 0.0692±0.0091, FDE_a: 0.1579±0.0133, FDE_b: 0.1902±0.0183, FDE_c: 1.4208±2.0192, FDE_d: 0.1879±0.0180
Experiment 49: ADE_a: 0.0577±0.0063, ADE_b: 0.0731±0.0088, ADE_c: 0.1845±0.1566, ADE_c: 0.0702±0.0094, FDE_a: 0.1584±0.0134, FDE_b: 0.1931±0.0189, FDE_c: 1.3074±1.8343, FDE_d: 0.1906±0.0190

Results for prediction length: 50
Experiment 01: ADE_a: 0.3240±0.0998, ADE_b: 0.7199±0.0901, ADE_c: 0.9756±0.2160, ADE_c: 0.2207±0.0139, FDE_a: 0.8445±0.1477, FDE_b: 0.5288±0.0319, FDE_c: 3.4012±0.5763, FDE_d: 0.5297±0.0330
Experiment 02: ADE_a: 0.3146±0.1010, ADE_b: 0.6810±0.1142, ADE_c: 0.9822±0.2395, ADE_c: 0.2190±0.0164, FDE_a: 0.7941±0.1359, FDE_b: 0.5197±0.0345, FDE_c: 3.4525±0.6549, FDE_d: 0.5167±0.0327
Experiment 03: ADE_a: 0.3022±0.0978, ADE_b: 0.6306±0.1046, ADE_c: 1.0004±0.2561, ADE_c: 0.2177±0.0144, FDE_a: 0.7343±0.1182, FDE_b: 0.5144±0.0310, FDE_c: 3.5051±0.7176, FDE_d: 0.5134±0.0324
Experiment 04: ADE_a: 0.2978±0.0993, ADE_b: 0.5719±0.1105, ADE_c: 1.0194±0.2679, ADE_c: 0.2166±0.0140, FDE_a: 0.7187±0.1397, FDE_b: 0.5153±0.0276, FDE_c: 3.5486±0.7460, FDE_d: 0.5158±0.0334
Experiment 05: ADE_a: 0.2824±0.0926, ADE_b: 0.5434±0.1026, ADE_c: 1.0252±0.2774, ADE_c: 0.2172±0.0142, FDE_a: 0.6554±0.1098, FDE_b: 0.5172±0.0307, FDE_c: 3.5740±0.7701, FDE_d: 0.5163±0.0327
Experiment 06: ADE_a: 0.2781±0.0973, ADE_b: 0.5201±0.1037, ADE_c: 1.0192±0.2828, ADE_c: 0.2158±0.0145, FDE_a: 0.6193±0.0837, FDE_b: 0.5137±0.0292, FDE_c: 3.5696±0.7950, FDE_d: 0.5123±0.0303
Experiment 07: ADE_a: 0.2735±0.0927, ADE_b: 0.4919±0.0945, ADE_c: 1.0302±0.2926, ADE_c: 0.2164±0.0122, FDE_a: 0.6092±0.0776, FDE_b: 0.5166±0.0259, FDE_c: 3.5929±0.8256, FDE_d: 0.5161±0.0268
Experiment 08: ADE_a: 0.2666±0.0902, ADE_b: 0.4727±0.0884, ADE_c: 1.0233±0.2999, ADE_c: 0.2139±0.0145, FDE_a: 0.5911±0.0601, FDE_b: 0.5089±0.0304, FDE_c: 3.5873±0.8486, FDE_d: 0.5092±0.0311
Experiment 09: ADE_a: 0.2622±0.0845, ADE_b: 0.4500±0.0833, ADE_c: 1.0217±0.2952, ADE_c: 0.2140±0.0148, FDE_a: 0.5788±0.0893, FDE_b: 0.5096±0.0307, FDE_c: 3.5858±0.8490, FDE_d: 0.5089±0.0351
Experiment 10: ADE_a: 0.2602±0.0856, ADE_b: 0.4440±0.0718, ADE_c: 1.0243±0.3147, ADE_c: 0.2168±0.0129, FDE_a: 0.5709±0.0972, FDE_b: 0.5188±0.0240, FDE_c: 3.6040±0.8878, FDE_d: 0.5133±0.0260
Experiment 11: ADE_a: 0.2547±0.0747, ADE_b: 0.4290±0.0810, ADE_c: 1.0331±0.3225, ADE_c: 0.2165±0.0128, FDE_a: 0.5604±0.0868, FDE_b: 0.5163±0.0270, FDE_c: 3.6199±0.9050, FDE_d: 0.5104±0.0295
Experiment 12: ADE_a: 0.2508±0.0771, ADE_b: 0.4043±0.0901, ADE_c: 1.0273±0.3246, ADE_c: 0.2132±0.0147, FDE_a: 0.5417±0.0652, FDE_b: 0.5071±0.0324, FDE_c: 3.6064±0.9132, FDE_d: 0.5058±0.0325
Experiment 13: ADE_a: 0.2478±0.0785, ADE_b: 0.3889±0.0872, ADE_c: 1.0316±0.3398, ADE_c: 0.2134±0.0146, FDE_a: 0.5387±0.0677, FDE_b: 0.5070±0.0323, FDE_c: 3.6187±0.9413, FDE_d: 0.5066±0.0338
Experiment 14: ADE_a: 0.2453±0.0734, ADE_b: 0.3761±0.0794, ADE_c: 1.0374±0.3478, ADE_c: 0.2131±0.0130, FDE_a: 0.5328±0.0739, FDE_b: 0.5106±0.0259, FDE_c: 3.6425±0.9690, FDE_d: 0.5083±0.0308
Experiment 15: ADE_a: 0.2482±0.0752, ADE_b: 0.3577±0.0890, ADE_c: 1.0344±0.3487, ADE_c: 0.2119±0.0136, FDE_a: 0.5338±0.0773, FDE_b: 0.5049±0.0312, FDE_c: 3.6331±0.9759, FDE_d: 0.5058±0.0320
Experiment 16: ADE_a: 0.2447±0.0761, ADE_b: 0.3576±0.0864, ADE_c: 1.0344±0.3595, ADE_c: 0.2142±0.0131, FDE_a: 0.5191±0.0794, FDE_b: 0.5111±0.0329, FDE_c: 3.6359±1.0016, FDE_d: 0.5059±0.0338
Experiment 17: ADE_a: 0.2432±0.0744, ADE_b: 0.3414±0.0832, ADE_c: 1.0324±0.3617, ADE_c: 0.2154±0.0156, FDE_a: 0.5169±0.0719, FDE_b: 0.5146±0.0364, FDE_c: 3.6237±1.0084, FDE_d: 0.5137±0.0358
Experiment 18: ADE_a: 0.2447±0.0801, ADE_b: 0.3376±0.0832, ADE_c: 1.0376±0.3731, ADE_c: 0.2134±0.0147, FDE_a: 0.5118±0.0792, FDE_b: 0.5076±0.0322, FDE_c: 3.6401±1.0316, FDE_d: 0.5050±0.0315
Experiment 19: ADE_a: 0.2420±0.0806, ADE_b: 0.3326±0.0825, ADE_c: 1.0346±0.3773, ADE_c: 0.2144±0.0159, FDE_a: 0.5073±0.0657, FDE_b: 0.5115±0.0361, FDE_c: 3.6320±1.0459, FDE_d: 0.5084±0.0363
Experiment 20: ADE_a: 0.2429±0.0774, ADE_b: 0.3195±0.0773, ADE_c: 1.0299±0.3876, ADE_c: 0.2115±0.0120, FDE_a: 0.5107±0.0690, FDE_b: 0.5052±0.0315, FDE_c: 3.6185±1.0709, FDE_d: 0.5088±0.0310
Experiment 21: ADE_a: 0.2439±0.0816, ADE_b: 0.3178±0.0783, ADE_c: 1.0412±0.3898, ADE_c: 0.2130±0.0149, FDE_a: 0.5111±0.0614, FDE_b: 0.5092±0.0368, FDE_c: 3.6426±1.0798, FDE_d: 0.5107±0.0361
Experiment 22: ADE_a: 0.2411±0.0847, ADE_b: 0.3170±0.0785, ADE_c: 1.0354±0.3931, ADE_c: 0.2103±0.0128, FDE_a: 0.4927±0.0711, FDE_b: 0.5047±0.0263, FDE_c: 3.6365±1.0898, FDE_d: 0.5029±0.0305
Experiment 23: ADE_a: 0.2400±0.0843, ADE_b: 0.3142±0.0766, ADE_c: 1.0371±0.4032, ADE_c: 0.2105±0.0133, FDE_a: 0.4915±0.0732, FDE_b: 0.5076±0.0301, FDE_c: 3.6438±1.1106, FDE_d: 0.5034±0.0321
Experiment 24: ADE_a: 0.2481±0.0850, ADE_b: 0.3116±0.0785, ADE_c: 1.0348±0.4058, ADE_c: 0.2136±0.0170, FDE_a: 0.5029±0.0729, FDE_b: 0.5093±0.0353, FDE_c: 3.6238±1.1216, FDE_d: 0.5113±0.0390
Experiment 25: ADE_a: 0.2450±0.0876, ADE_b: 0.3121±0.0761, ADE_c: 1.0309±0.4089, ADE_c: 0.2133±0.0123, FDE_a: 0.4966±0.0689, FDE_b: 0.5085±0.0311, FDE_c: 3.6202±1.1288, FDE_d: 0.5076±0.0346
Experiment 26: ADE_a: 0.2413±0.0934, ADE_b: 0.3077±0.0838, ADE_c: 1.0241±0.4174, ADE_c: 0.2094±0.0135, FDE_a: 0.4835±0.0604, FDE_b: 0.5056±0.0317, FDE_c: 3.6019±1.1429, FDE_d: 0.5012±0.0312
