
Results for prediction length: 25
Experiment 36: ADE_a: 0.0711±0.0076, ADE_b: 0.0879±0.0100, ADE_c: 0.1097±0.0038, ADE_c: 0.0852±0.0092, FDE_a: 0.1787±0.0168, FDE_b: 0.2176±0.0202, FDE_c: 0.2996±0.0400, FDE_d: 0.2153±0.0198
Experiment 37: ADE_a: 0.0712±0.0104, ADE_b: 0.0886±0.0146, ADE_c: 0.1096±0.0083, ADE_c: 0.0858±0.0132, FDE_a: 0.1815±0.0208, FDE_b: 0.2187±0.0283, FDE_c: 0.3023±0.0459, FDE_d: 0.2175±0.0271
Experiment 38: ADE_a: 0.0696±0.0090, ADE_b: 0.0856±0.0104, ADE_c: 0.1091±0.0046, ADE_c: 0.0828±0.0098, FDE_a: 0.1796±0.0194, FDE_b: 0.2146±0.0234, FDE_c: 0.3047±0.0536, FDE_d: 0.2135±0.0221
Experiment 39: ADE_a: 0.0689±0.0083, ADE_b: 0.0850±0.0108, ADE_c: 0.1067±0.0046, ADE_c: 0.0825±0.0102, FDE_a: 0.1789±0.0163, FDE_b: 0.2137±0.0231, FDE_c: 0.2955±0.0434, FDE_d: 0.2125±0.0219
Experiment 40: ADE_a: 0.0707±0.0089, ADE_b: 0.0879±0.0120, ADE_c: 0.1087±0.0052, ADE_c: 0.0846±0.0110, FDE_a: 0.1817±0.0171, FDE_b: 0.2191±0.0258, FDE_c: 0.2966±0.0353, FDE_d: 0.2166±0.0239
Experiment 41: ADE_a: 0.0689±0.0081, ADE_b: 0.0854±0.0107, ADE_c: 0.1073±0.0025, ADE_c: 0.0828±0.0100, FDE_a: 0.1781±0.0158, FDE_b: 0.2159±0.0218, FDE_c: 0.2948±0.0377, FDE_d: 0.2141±0.0210
Experiment 42: ADE_a: 0.0691±0.0089, ADE_b: 0.0855±0.0114, ADE_c: 0.1065±0.0035, ADE_c: 0.0831±0.0108, FDE_a: 0.1784±0.0189, FDE_b: 0.2157±0.0247, FDE_c: 0.2901±0.0297, FDE_d: 0.2137±0.0237
Experiment 43: ADE_a: 0.0708±0.0075, ADE_b: 0.0873±0.0102, ADE_c: 0.1080±0.0044, ADE_c: 0.0847±0.0091, FDE_a: 0.1829±0.0136, FDE_b: 0.2183±0.0225, FDE_c: 0.2935±0.0318, FDE_d: 0.2173±0.0198
Experiment 44: ADE_a: 0.0700±0.0107, ADE_b: 0.0879±0.0132, ADE_c: 0.1105±0.0062, ADE_c: 0.0852±0.0124, FDE_a: 0.1797±0.0222, FDE_b: 0.2194±0.0267, FDE_c: 0.2999±0.0392, FDE_d: 0.2175±0.0259
Experiment 45: ADE_a: 0.0699±0.0094, ADE_b: 0.0878±0.0132, ADE_c: 0.1076±0.0054, ADE_c: 0.0846±0.0120, FDE_a: 0.1813±0.0193, FDE_b: 0.2200±0.0288, FDE_c: 0.2893±0.0261, FDE_d: 0.2178±0.0270
Experiment 46: ADE_a: 0.0703±0.0089, ADE_b: 0.0873±0.0110, ADE_c: 0.1079±0.0037, ADE_c: 0.0844±0.0104, FDE_a: 0.1834±0.0186, FDE_b: 0.2197±0.0244, FDE_c: 0.2959±0.0357, FDE_d: 0.2184±0.0235
Experiment 47: ADE_a: 0.0690±0.0099, ADE_b: 0.0866±0.0118, ADE_c: 0.1065±0.0049, ADE_c: 0.0836±0.0113, FDE_a: 0.1801±0.0206, FDE_b: 0.2186±0.0251, FDE_c: 0.2890±0.0298, FDE_d: 0.2161±0.0244
Experiment 48: ADE_a: 0.0696±0.0101, ADE_b: 0.0878±0.0132, ADE_c: 0.1081±0.0056, ADE_c: 0.0846±0.0125, FDE_a: 0.1808±0.0200, FDE_b: 0.2198±0.0266, FDE_c: 0.2918±0.0276, FDE_d: 0.2176±0.0255
Experiment 49: ADE_a: 0.0700±0.0104, ADE_b: 0.0877±0.0129, ADE_c: 0.1063±0.0065, ADE_c: 0.0849±0.0121, FDE_a: 0.1810±0.0224, FDE_b: 0.2211±0.0275, FDE_c: 0.2815±0.0123, FDE_d: 0.2187±0.0267

Results for prediction length: 50
Experiment 01: ADE_a: 0.2573±0.0191, ADE_b: 0.3407±0.0586, ADE_c: 0.5731±0.2283, ADE_c: 0.2622±0.0137, FDE_a: 0.6001±0.1021, FDE_b: 0.5687±0.0373, FDE_c: 1.8028±0.8296, FDE_d: 0.5660±0.0335
Experiment 02: ADE_a: 0.2633±0.0168, ADE_b: 0.3132±0.0361, ADE_c: 0.5916±0.2616, ADE_c: 0.2631±0.0232, FDE_a: 0.6132±0.0670, FDE_b: 0.5801±0.0282, FDE_c: 1.8415±0.9264, FDE_d: 0.5936±0.0349
Experiment 03: ADE_a: 0.2305±0.0167, ADE_b: 0.3027±0.0518, ADE_c: 0.5784±0.3077, ADE_c: 0.2435±0.0195, FDE_a: 0.5305±0.0747, FDE_b: 0.5543±0.0402, FDE_c: 1.8071±1.0719, FDE_d: 0.5443±0.0399
Experiment 04: ADE_a: 0.2274±0.0155, ADE_b: 0.2915±0.0363, ADE_c: 0.5725±0.3201, ADE_c: 0.2375±0.0190, FDE_a: 0.5157±0.0582, FDE_b: 0.5373±0.0354, FDE_c: 1.8113±1.1068, FDE_d: 0.5334±0.0342
Experiment 05: ADE_a: 0.2247±0.0139, ADE_b: 0.2774±0.0303, ADE_c: 0.5818±0.3380, ADE_c: 0.2343±0.0188, FDE_a: 0.5316±0.0593, FDE_b: 0.5341±0.0346, FDE_c: 1.8419±1.1722, FDE_d: 0.5360±0.0388
Experiment 06: ADE_a: 0.2174±0.0136, ADE_b: 0.2840±0.0335, ADE_c: 0.5775±0.3607, ADE_c: 0.2354±0.0179, FDE_a: 0.4987±0.0560, FDE_b: 0.5437±0.0342, FDE_c: 1.8236±1.2408, FDE_d: 0.5339±0.0336
