Results for prediction length: 25
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_39.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_40.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_41.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_42.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_43.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_44.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_45.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_46.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_47.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_48.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_49.model_perf.txt
Experiment 29: ADE_a: 0.0564±0.0059, ADE_b: 0.0715±0.0074, ADE_c: 0.1556±0.0365, ADE_c: 0.0675±0.0066, FDE_a: 0.1515±0.0146, FDE_b: 0.1865±0.0156, FDE_c: 0.6513±0.2389, FDE_d: 0.1840±0.0158
Experiment 30: ADE_a: 0.0562±0.0047, ADE_b: 0.0708±0.0072, ADE_c: 0.1585±0.0414, ADE_c: 0.0673±0.0063, FDE_a: 0.1535±0.0112, FDE_b: 0.1852±0.0133, FDE_c: 0.6456±0.2254, FDE_d: 0.1832±0.0133
Experiment 31: ADE_a: 0.0558±0.0055, ADE_b: 0.0719±0.0096, ADE_c: 0.3793±0.4749, ADE_c: 0.0669±0.0073, FDE_a: 0.1533±0.0133, FDE_b: 0.1876±0.0191, FDE_c: 1.1231±1.0528, FDE_d: 0.1848±0.0176
Experiment 32: ADE_a: 0.0549±0.0045, ADE_b: 0.0722±0.0073, ADE_c: 0.1520±0.0333, ADE_c: 0.0670±0.0057, FDE_a: 0.1498±0.0107, FDE_b: 0.1865±0.0121, FDE_c: 0.6263±0.2099, FDE_d: 0.1833±0.0121
Experiment 33: ADE_a: 0.0544±0.0055, ADE_b: 0.0699±0.0082, ADE_c: 0.3553±0.4244, ADE_c: 0.0661±0.0071, FDE_a: 0.1484±0.0126, FDE_b: 0.1836±0.0164, FDE_c: 0.8498±0.4987, FDE_d: 0.1814±0.0156
Experiment 34: ADE_a: 0.0669±0.0249, ADE_b: 0.0928±0.0448, ADE_c: 0.2862±0.2894, ADE_c: 0.0763±0.0192, FDE_a: 0.1742±0.0525, FDE_b: 0.1993±0.0339, FDE_c: 0.8571±0.6071, FDE_d: 0.1969±0.0342
Experiment 35: ADE_a: 0.0626±0.0166, ADE_b: 0.0808±0.0247, ADE_c: 0.2733±0.2675, ADE_c: 0.0718±0.0137, FDE_a: 0.1662±0.0350, FDE_b: 0.1920±0.0253, FDE_c: 0.8438±0.5665, FDE_d: 0.1905±0.0258
Experiment 36: ADE_a: 0.0592±0.0098, ADE_b: 0.0793±0.0193, ADE_c: 0.6402±0.7704, ADE_c: 0.0731±0.0134, FDE_a: 0.1536±0.0169, FDE_b: 0.1942±0.0254, FDE_c: 1.5884±1.7518, FDE_d: 0.1912±0.0243
Experiment 37: ADE_a: 0.1008±0.0773, ADE_b: 0.1196±0.0829, ADE_c: 0.3422±0.2184, ADE_c: 0.1116±0.0787, FDE_a: 0.2505±0.1694, FDE_b: 0.2785±0.1708, FDE_c: 0.9689±0.4704, FDE_d: 0.2780±0.1728
Experiment 38: ADE_a: 0.0567±0.0079, ADE_b: 0.0745±0.0134, ADE_c: 0.3184±0.2443, ADE_c: 0.0680±0.0085, FDE_a: 0.1532±0.0175, FDE_b: 0.1863±0.0192, FDE_c: 0.8431±0.5391, FDE_d: 0.1843±0.0182
Experiment 39: ADE_a: 0.0580±0.0078, ADE_b: 0.0762±0.0132, ADE_c: 0.2592±0.2270, ADE_c: 0.0689±0.0092, FDE_a: 0.1558±0.0172, FDE_b: 0.1888±0.0216, FDE_c: 0.7838±0.5705, FDE_d: 0.1858±0.0199
Experiment 40: ADE_a: 0.0555±0.0074, ADE_b: 0.0717±0.0116, ADE_c: 0.2704±0.2588, ADE_c: 0.0661±0.0087, FDE_a: 0.1500±0.0153, FDE_b: 0.1832±0.0203, FDE_c: 0.8414±0.7070, FDE_d: 0.1795±0.0185
Experiment 41: ADE_a: 0.0850±0.0486, ADE_b: 0.0978±0.0452, ADE_c: 0.3500±0.2769, ADE_c: 0.0901±0.0398, FDE_a: 0.2190±0.1139, FDE_b: 0.2411±0.0958, FDE_c: 1.1246±0.8466, FDE_d: 0.2400±0.1002
Experiment 42: ADE_a: 0.0756±0.0310, ADE_b: 0.0954±0.0401, ADE_c: 0.3905±0.3755, ADE_c: 0.0824±0.0239, FDE_a: 0.1887±0.0596, FDE_b: 0.2081±0.0383, FDE_c: 1.4584±1.5180, FDE_d: 0.2098±0.0433
Experiment 43: ADE_a: 0.0944±0.0702, ADE_b: 0.1130±0.0781, ADE_c: 0.4337±0.4047, ADE_c: 0.1039±0.0679, FDE_a: 0.2397±0.1599, FDE_b: 0.2481±0.1190, FDE_c: 1.5618±1.7058, FDE_d: 0.2495±0.1253
Experiment 44: ADE_a: 0.0698±0.0301, ADE_b: 0.0824±0.0297, ADE_c: 0.3952±0.4260, ADE_c: 0.0784±0.0276, FDE_a: 0.1772±0.0553, FDE_b: 0.2001±0.0446, FDE_c: 1.5144±1.8111, FDE_d: 0.1990±0.0446
Experiment 45: ADE_a: 0.0675±0.0257, ADE_b: 0.0791±0.0225, ADE_c: 0.3301±0.3267, ADE_c: 0.0757±0.0221, FDE_a: 0.1720±0.0435, FDE_b: 0.1959±0.0348, FDE_c: 1.2110±1.3175, FDE_d: 0.1947±0.0351
Experiment 46: ADE_a: 0.0802±0.0459, ADE_b: 0.1288±0.1055, ADE_c: 0.2781±0.2067, ADE_c: 0.0919±0.0457, FDE_a: 0.2039±0.0991, FDE_b: 0.2202±0.0675, FDE_c: 0.9452±0.8240, FDE_d: 0.2126±0.0578
Experiment 47: ADE_a: 0.0675±0.0254, ADE_b: 0.0845±0.0324, ADE_c: 0.2496±0.1727, ADE_c: 0.0757±0.0211, FDE_a: 0.1786±0.0545, FDE_b: 0.2000±0.0408, FDE_c: 0.8687±0.6752, FDE_d: 0.2010±0.0447
Experiment 48: ADE_a: 0.0644±0.0221, ADE_b: 0.0892±0.0413, ADE_c: 0.2774±0.1804, ADE_c: 0.0776±0.0254, FDE_a: 0.1662±0.0428, FDE_b: 0.2020±0.0459, FDE_c: 1.0822±0.7899, FDE_d: 0.1988±0.0442
Experiment 49: ADE_a: 0.0619±0.0179, ADE_b: 0.0787±0.0242, ADE_c: 0.2444±0.1520, ADE_c: 0.0720±0.0175, FDE_a: 0.1613±0.0316, FDE_b: 0.1911±0.0306, FDE_c: 0.9235±0.6146, FDE_d: 0.1895±0.0305

Results for prediction length: 50
Experiment 01: ADE_a: 0.2511±0.0232, ADE_b: 0.2971±0.0234, ADE_c: 0.8092±0.2013, ADE_c: 0.2396±0.0168, FDE_a: 0.5549±0.0428, FDE_b: 0.5499±0.0395, FDE_c: 2.7654±0.6064, FDE_d: 0.5505±0.0423
Experiment 02: ADE_a: 0.2493±0.0394, ADE_b: 0.2886±0.0326, ADE_c: 0.9407±0.2685, ADE_c: 0.2471±0.0286, FDE_a: 0.5422±0.0523, FDE_b: 0.5618±0.0467, FDE_c: 3.1085±0.7286, FDE_d: 0.5607±0.0539
Experiment 03: ADE_a: 0.2288±0.0260, ADE_b: 0.2761±0.0223, ADE_c: 0.9947±0.2930, ADE_c: 0.2294±0.0149, FDE_a: 0.5285±0.0195, FDE_b: 0.5302±0.0254, FDE_c: 3.3027±0.7716, FDE_d: 0.5303±0.0228
Experiment 04: ADE_a: 0.2268±0.0291, ADE_b: 0.2684±0.0279, ADE_c: 1.0663±0.3235, ADE_c: 0.2261±0.0166, FDE_a: 0.5260±0.0374, FDE_b: 0.5222±0.0338, FDE_c: 3.4994±0.8185, FDE_d: 0.5238±0.0351
Experiment 05: ADE_a: 0.2279±0.0291, ADE_b: 0.2666±0.0289, ADE_c: 1.0967±0.3385, ADE_c: 0.2258±0.0163, FDE_a: 0.5152±0.0375, FDE_b: 0.5217±0.0315, FDE_c: 3.6053±0.8466, FDE_d: 0.5242±0.0355
Experiment 06: ADE_a: 0.2199±0.0260, ADE_b: 0.2586±0.0256, ADE_c: 1.1201±0.3662, ADE_c: 0.2203±0.0155, FDE_a: 0.4925±0.0209, FDE_b: 0.5118±0.0313, FDE_c: 3.6847±0.9066, FDE_d: 0.5106±0.0302
Experiment 07: ADE_a: 0.2212±0.0274, ADE_b: 0.2591±0.0214, ADE_c: 1.1472±0.3820, ADE_c: 0.2232±0.0158, FDE_a: 0.4964±0.0316, FDE_b: 0.5212±0.0271, FDE_c: 3.7921±0.9277, FDE_d: 0.5172±0.0309
Experiment 08: ADE_a: 0.2174±0.0257, ADE_b: 0.2539±0.0222, ADE_c: 1.1715±0.3950, ADE_c: 0.2187±0.0094, FDE_a: 0.4823±0.0241, FDE_b: 0.5146±0.0136, FDE_c: 3.8800±0.9472, FDE_d: 0.5102±0.0212
Experiment 09: ADE_a: 0.2167±0.0254, ADE_b: 0.2519±0.0154, ADE_c: 1.1931±0.4240, ADE_c: 0.2204±0.0114, FDE_a: 0.4826±0.0334, FDE_b: 0.5162±0.0122, FDE_c: 3.9921±1.0501, FDE_d: 0.5112±0.0230
Experiment 10: ADE_a: 0.2139±0.0294, ADE_b: 0.2462±0.0259, ADE_c: 1.2031±0.4301, ADE_c: 0.2161±0.0170, FDE_a: 0.4760±0.0206, FDE_b: 0.5068±0.0344, FDE_c: 3.9750±1.0262, FDE_d: 0.5052±0.0349
Experiment 11: ADE_a: 0.2084±0.0286, ADE_b: 0.2404±0.0208, ADE_c: 1.2180±0.4499, ADE_c: 0.2116±0.0134, FDE_a: 0.4740±0.0258, FDE_b: 0.4986±0.0271, FDE_c: 4.0359±1.0921, FDE_d: 0.4967±0.0306
Experiment 12: ADE_a: 0.2181±0.0310, ADE_b: 0.2452±0.0231, ADE_c: 1.2366±0.4576, ADE_c: 0.2204±0.0184, FDE_a: 0.4890±0.0360, FDE_b: 0.5108±0.0318, FDE_c: 4.1175±1.1321, FDE_d: 0.5151±0.0325
Experiment 13: ADE_a: 0.2097±0.0263, ADE_b: 0.2383±0.0235, ADE_c: 1.2555±0.4750, ADE_c: 0.2148±0.0182, FDE_a: 0.4760±0.0365, FDE_b: 0.5002±0.0300, FDE_c: 4.1715±1.2010, FDE_d: 0.5026±0.0342
Experiment 14: ADE_a: 0.2035±0.0261, ADE_b: 0.2300±0.0228, ADE_c: 1.2705±0.5004, ADE_c: 0.2082±0.0146, FDE_a: 0.4622±0.0248, FDE_b: 0.4906±0.0292, FDE_c: 4.3300±1.3907, FDE_d: 0.4915±0.0289
Experiment 15: ADE_a: 0.2040±0.0271, ADE_b: 0.2341±0.0206, ADE_c: 1.2627±0.4988, ADE_c: 0.2110±0.0129, FDE_a: 0.4643±0.0247, FDE_b: 0.5015±0.0253, FDE_c: 4.3244±1.3933, FDE_d: 0.5020±0.0252
Experiment 16: ADE_a: 0.2003±0.0250, ADE_b: 0.2253±0.0194, ADE_c: 1.2940±0.5222, ADE_c: 0.2066±0.0131, FDE_a: 0.4579±0.0205, FDE_b: 0.4900±0.0287, FDE_c: 4.5202±1.6359, FDE_d: 0.4905±0.0272
